Name,OtherName,Elevation,Latitude,Longitude
Tohakum Peak,,8182,40.179387,-119.455121
Trinity Peak,,7337,40.232286,-118.745437
Juniper Mountain,,7474,40.234408,-119.074096
Nightingale Mountains High Point,,6942,40.044848,-119.246253
Freds Mountain,,7188,39.779072,-119.853312
Warm Springs Mountain,,6004,39.795279,-119.766614
Hungry Mountain,,5965,39.751409,-119.789416
Spanish Benchmark,,6161,39.650887,-119.769115
Curnow Range High Point,,6493,39.697277,-119.595966
Virginia Peak,,8366,39.755664,-119.461258
Juniper Peak,,7209,39.79542,-119.183253
Rattler Benchmark,,7337,39.400289,-119.529885
Mount Davidson,,7864,39.308294,-119.663526
Desert Peak,,5365,39.786145,-118.937843
Rocky 2 Benchmark,,5512,39.699424,-118.991147
Lahontan Benchmark,,5377,39.407767,-119.015152
Cleaver Peak,,6711,39.218463,-119.133382
Brown Knob,,6084,39.065266,-118.708778
Buffalo Mountain,,8206,40.222712,-118.129277
West Humboldt Range High Point,,6381,40.11599,-118.335489
Job Peak,,8785,39.583196,-118.235478
Rainbow Mountain,,4760,39.414119,-118.543903
Bunejug Mountains High Point,,4892,39.301059,-118.611501
Lava Benchmark,,4953,39.24639,-118.722927
Alkali Benchmark,,6104,39.210741,-118.537907
Blow Sand Mountains High Point,,5260,39.192407,-118.656527
Sand Springs Range High Point,,7467,39.105377,-118.349649
Mount Augusta,,9966,39.53993,-117.919605
Crown Peak,,6600,39.409333,-118.092463
Fairview Peak,,8303,39.225029,-118.152585
Bell Mountain,,7152,39.163521,-118.085534
Mount Anna,,6908,39.003279,-118.126364
Grayback Mountain,,7500,39.197422,-117.888886
Artesia Benchmark,,6915,39.028987,-119.371381
Mount Siegel,,9451,38.889564,-119.502187
Mount Wilson,,6778,38.850792,-119.220399
Desert Creek Peak,,8958,38.614075,-119.315631
East Sister,,10404,38.523362,-119.290252
Middle Sister-Northeast Ridge,,10560,38.509561,-119.292617
Middle Sister,,10854,38.50794,-119.295327
Mount Patterson,,11673,38.436643,-119.305163
Mount Grant,,11280,38.568409,-118.791119
Powell Mountain,,9527,38.327673,-118.699755
Brawley Peaks,,9520,38.251652,-118.921211
Potato Peak,,10237,38.234565,-119.086855
Mount Biedeman,,8962,38.152566,-119.068138
Glass Mountain,,11160,37.766342,-118.703809
Anchor Benchmark,,9062,38.237663,-118.683114
Anchorite Hills-Gregs Knoll,,8160,38.216018,-118.673189
Anchorite Hills-South Summit,,8810,38.153287,-118.698958
Moho Mountain,,8805,38.27961,-118.259687
Huntoon Benchmark,,8299,38.033873,-118.542134
Buckley Benchmark,,7888,38.682814,-118.550667
Mount Ferguson,,8353,38.657209,-118.160941
Pilot Peak,,9182,38.34301,-117.974093
Boundary Peak,,13140,37.84609,-118.35135
